case_id,source_kind,prompt,reference_answer,reference_source,answer_hash,source_row_id,question_variant_rank,token_count_reference,source_dataset,source_revision,adapter_raw_answer,adapter_answer,adapter_token_f1,adapter_reference_marker_recall,adapter_protocol_marker_count,adapter_repeated_ngram_ratio,adapter_generated_tokens,adapter_latency_seconds,adapter_hit_max_new_tokens,adapter_error,reviewer_substance_correct,reviewer_citation_correct,reviewer_complete,reviewer_current,reviewer_grounded,reviewer_abstained_appropriately,reviewer_notes
qa-test-00001,qa_test,Tuliskan kutipan lengkap dari Pasal 283 dalam Undang -Undang Republik Indonesia No 31 Tahun 1997!,"(1) Pemeriksaan sengketa dimulai dengan membacakan isi gugatan dan surat yang memuat jawabannya oleh Hakim K etua dan apabila tidak ada surat jawaban, pihak Tergugat diberi kesempatan untuk mengajukan jawabannya. (2) Hakim Ketua memberikan kesempatan kepada kedua belah pihak untuk menjelaskan seperlunya hal yang akan diajukan oleh mereka masing -masing.",answer:0024a78a4f8396cd7136af27878e55c578532aa5618943103446fdf3101b0660,0024a78a4f8396cd7136af27878e55c578532aa5618943103446fdf3101b0660,train-00010-of-00021.parquet:9378429,1,114,Azzindani/Indonesian_Regulation_QA,54e65e937f1a8cc87cd0fc55eb944c0a6383efe1,"(1) Dalam hal terdakwa tidak dapat dibuktikan bersalah atau tidak terbukti bersalah, maka terdakwa dinyatakan tidak bersalah. (2) Dalam hal terdakwa tidak dapat dibuktikan bersalah atau tidak terbukti bersalah, maka terdakwa tidak dipidana. (3) Dalam hal terdakwa tidak dapat dibuktikan bersalah atau tidak terbukti bersalah, maka terdakwa tidak dipidana. (4) Dalam hal terdakwa tidak dapat dibuktikan bersalah atau tidak terbukti bersalah, maka terdakwa tidak dipidana. (5) Dalam hal terdakwa tidak dapat dibuktikan bersalah atau tidak terbukti bersalah, maka terdakwa tidak dipidana. (6) Dalam hal terdakwa tidak dapat dibuktikan bersalah atau tidak terbukti bersalah, maka terdakwa tidak dipidana. (7) Dalam hal terdakwa tidak dapat dibuktikan bersalah atau tidak terbukti bersalah, maka terdakwa tidak dipidana. (8) Dalam hal terdakwa tidak dapat dibuktikan bersalah atau tidak terbukti bersalah, maka terdakwa tidak dipidana. (9) Dalam hal terdakwa tidak dapat dibuktikan bersalah atau tidak terbukti bersalah, maka terdakwa","(1) Dalam hal terdakwa tidak dapat dibuktikan bersalah atau tidak terbukti bersalah, maka terdakwa dinyatakan tidak bersalah. (2) Dalam hal terdakwa tidak dapat dibuktikan bersalah atau tidak terbukti bersalah, maka terdakwa tidak dipidana. (3) Dalam hal terdakwa tidak dapat dibuktikan bersalah atau tidak terbukti bersalah, maka terdakwa tidak dipidana. (4) Dalam hal terdakwa tidak dapat dibuktikan bersalah atau tidak terbukti bersalah, maka terdakwa tidak dipidana. (5) Dalam hal terdakwa tidak dapat dibuktikan bersalah atau tidak terbukti bersalah, maka terdakwa tidak dipidana. (6) Dalam hal terdakwa tidak dapat dibuktikan bersalah atau tidak terbukti bersalah, maka terdakwa tidak dipidana. (7) Dalam hal terdakwa tidak dapat dibuktikan bersalah atau tidak terbukti bersalah, maka terdakwa tidak dipidana. (8) Dalam hal terdakwa tidak dapat dibuktikan bersalah atau tidak terbukti bersalah, maka terdakwa tidak dipidana. (9) Dalam hal terdakwa tidak dapat dibuktikan bersalah atau tidak terbukti bersalah, maka terdakwa",0.041451,nan,0,0.550725,256,9.5994,True,,,,,,,,
qa-test-00002,qa_test,Bagaimana bunyi lengkap dari Pasal 16 berdasarkan Peraturan Pemerintah Republik Indonesia No 2 Tahun 2006?,"Bunyi lengkap dari Pasal berdasarkan Pasal 16 dalam Peraturan Pemerintah Republik Indonesia No 2 Tahun 2006 tentang Tata Cara Pengadaan Pinjaman Dan/Atau Penerimaan Hibah:
Cukup jelas.",peraturan pemerintah|2|2006,00975a69e487a49d01d60808a4ac859551644f6a680293391786e580a24cb9aa,train-00001-of-00021.parquet:758165,1,85,Azzindani/Indonesian_Regulation_QA,54e65e937f1a8cc87cd0fc55eb944c0a6383efe1,"Bunyi lengkap dari Pasal berdasarkan Pasal 16 dalam Peraturan Pemerintah Republik Indonesia No 2 Tahun 2006 tentang Penanganan Permasalahan Hukum Dalam Rangka Pelaksanaan:
Cukup jelas.<|im_end|>","Bunyi lengkap dari Pasal berdasarkan Pasal 16 dalam Peraturan Pemerintah Republik Indonesia No 2 Tahun 2006 tentang Penanganan Permasalahan Hukum Dalam Rangka Pelaksanaan:
Cukup jelas.",0.730769,1.0,0,0.0,41,1.5487,False,,,,,,,,
qa-test-00003,qa_test,Apa frasa hukum dalam Pasal 21 dari Peraturan Menter! Keuangan Republik Indonesia No 87 Tahun 2014?,"Frasa hukum dalam Pasal 21 dalam Peraturan Menter! Keuangan Republik Indonesia No 87 Tahun 2014 tentang Perubahan Atas Peraturan Menter! Keuangan:
berbunyi sebagai berikut:",answer:0430f8a4cb812114191e2007584fe0f73a0b3c8ec8af8f427bbb5c81e733bd1a,0430f8a4cb812114191e2007584fe0f73a0b3c8ec8af8f427bbb5c81e733bd1a,train-00008-of-00021.parquet:7671916,1,85,Azzindani/Indonesian_Regulation_QA,54e65e937f1a8cc87cd0fc55eb944c0a6383efe1,"Frasa hukum dalam Pasal 21 dalam Peraturan Menter! Keuangan Republik Indonesia No 87 Tahun 2014 tentang Pengelolaan Barang Milik Negara:
(1) Pengguna Barang melakukan inventarisasi BMN yang berada dalam penguasaannya. (2) Inventarisasi sebagaimana dimaksud pada ayat (1) dilakukan untuk mengetahui: a. keberadaan BMN; b. kondisi BMN; dan c. nilai BMN. (3) Inventarisasi sebagaimana dimaksud pada ayat (1) dilakukan secara berkala paling sedikit 1 (satu) kali dalam 1 (satu) tahun. (4) Inventarisasi sebagaimana dimaksud pada ayat (1) dilakukan oleh Pengguna Barang dengan melibatkan Pengelola Barang. (5) Hasil inventarisasi sebagaimana dimaksud pada ayat (2) digunakan sebagai dasar penyusunan laporan BMN. (6) Laporan BMN sebagaimana dimaksud pada ayat (5) digunakan sebagai bahan evaluasi dan pertanggungjawaban pengelolaan BMN.<|im_end|>","Frasa hukum dalam Pasal 21 dalam Peraturan Menter! Keuangan Republik Indonesia No 87 Tahun 2014 tentang Pengelolaan Barang Milik Negara:
(1) Pengguna Barang melakukan inventarisasi BMN yang berada dalam penguasaannya. (2) Inventarisasi sebagaimana dimaksud pada ayat (1) dilakukan untuk mengetahui: a. keberadaan BMN; b. kondisi BMN; dan c. nilai BMN. (3) Inventarisasi sebagaimana dimaksud pada ayat (1) dilakukan secara berkala paling sedikit 1 (satu) kali dalam 1 (satu) tahun. (4) Inventarisasi sebagaimana dimaksud pada ayat (1) dilakukan oleh Pengguna Barang dengan melibatkan Pengelola Barang. (5) Hasil inventarisasi sebagaimana dimaksud pada ayat (2) digunakan sebagai dasar penyusunan laporan BMN. (6) Laporan BMN sebagaimana dimaksud pada ayat (5) digunakan sebagai bahan evaluasi dan pertanggungjawaban pengelolaan BMN.",0.246377,1.0,0,0.036697,197,7.2075,False,,,,,,,,
qa-test-00004,qa_test,Apa saja poin yang tercantum dalam Pasal 27 dalam Peraturan Menteri Pendayagunaan Aparatur Negara No 44 Tahun 2020?,"Berikut kutipan verbatim dari Pasal 27 dalam Peraturan Menteri Pendayagunaan Aparatur Negara No 44 Tahun 2020 tentang Jabatan Fungsional Negosiator Perdagangan:
dan",peraturan menteri|44|2020,0a6032b2bf679aef227c595437b2b6edc62ed5e198230f972babed103897a15f,train-00014-of-00021.parquet:13362758,1,91,Azzindani/Indonesian_Regulation_QA,54e65e937f1a8cc87cd0fc55eb944c0a6383efe1,"Berikut kutipan verbatim dari Pasal 27 dalam Peraturan Menteri Pendayagunaan Aparatur Negara No 44 Tahun 2020 tentang Jabatan Fungsional Asisten Penguji Prasarana Perkeretaapian:
(1) Dalam menjalankan tugasnya, pejabat sebagaimana dimaksud dalam<|im_end|>","Berikut kutipan verbatim dari Pasal 27 dalam Peraturan Menteri Pendayagunaan Aparatur Negara No 44 Tahun 2020 tentang Jabatan Fungsional Asisten Penguji Prasarana Perkeretaapian:
(1) Dalam menjalankan tugasnya, pejabat sebagaimana dimaksud dalam",0.716981,1.0,0,0.0,65,2.4071,False,,,,,,,,
qa-test-00005,qa_test,Uraikan teks hukum dari Pasal 321 menurut Peraturan Menteri Koordinator Bidang Kemaritiman Dan Investasi No 2 Tahun 2020!,"Teks hukum dari Pasal 321 dalam Peraturan Menteri Koordinator Bidang Kemaritiman Dan Investasi No 2 Tahun 2020 tentang Organisasi Dan Tata Kerja:
Bidang Strategi Percepatan Investasi mempunyai tugas melaksanakan pen yiapan bahan koordinasi dan sinkronisasi perumusan, penetapan, dan pelaksanaan serta pengendalian pelaksanaan kebijakan Kementerian/Lembaga, dan pemantauan, analisis, evaluasi, dan pelaporan yang terkait dengan isu di bidang strategi percepatan investasi.",peraturan menteri|2|2020,0ae1ea6753932d294bd0dae8b8f2d179d5c67c51979e1bf8b5f3f8bdda016489,train-00016-of-00021.parquet:15357073,1,140,Azzindani/Indonesian_Regulation_QA,54e65e937f1a8cc87cd0fc55eb944c0a6383efe1,"Teks hukum dari Pasal 321 dalam Peraturan Menteri Koordinator Bidang Kemaritiman Dan Investasi No 2 Tahun 2020 tentang Organisasi Dan Tata Kerja:
Asisten Deputi Pengembangan Sumber Daya Manusia dan Sarana Prasarana terdiri atas: a. Bidang Pengembangan Sumber Daya Manusia; dan b. Bidang Sarana Prasarana.<|im_end|>","Teks hukum dari Pasal 321 dalam Peraturan Menteri Koordinator Bidang Kemaritiman Dan Investasi No 2 Tahun 2020 tentang Organisasi Dan Tata Kerja:
Asisten Deputi Pengembangan Sumber Daya Manusia dan Sarana Prasarana terdiri atas: a. Bidang Pengembangan Sumber Daya Manusia; dan b. Bidang Sarana Prasarana.",0.5,1.0,0,0.0,72,2.6512,False,,,,,,,,
qa-test-00006,qa_test,Jelaskan isi lengkap Pasal 49 dari Peraturan Pemerintah Republik Indonesia No 6 Tahun 2021!,ayat (1) terdiri atas: a. pengelola SPKP; b. Penyedia SPKP; c. Pengguna SPKP; d. prasarana SPKP; dan e. sarana SPKP.,peraturan pemerintah|6|2021,0b6f61b8d07a941ddb0b186737a84ce0679a86a663244f047ded89faeeb38897,train-00016-of-00021.parquet:15305102,1,78,Azzindani/Indonesian_Regulation_QA,54e65e937f1a8cc87cd0fc55eb944c0a6383efe1,(1) Dalam hal terdapat perubahan atas data dan informasi yang telah disampaikan oleh Pelaku Usaha sebagaimana dimaksud dalam<|im_end|>,(1) Dalam hal terdapat perubahan atas data dan informasi yang telah disampaikan oleh Pelaku Usaha sebagaimana dimaksud dalam,0.157895,nan,0,0.0,23,0.8889,False,,,,,,,,
qa-test-00007,qa_test,Apa saja poin yang tercantum dalam Pasal 33 dalam Peraturan Pemerintah No 1 Tahun 2014?,"Berikut kutipan verbatim dari Pasal 33 dalam Peraturan Pemerintah No 1 Tahun 2014 tentang Pemilihan Gubernur , Bupa Ti, Dan Walikota:
Cukup jelas.",peraturan pemerintah|1|2014,0d431935e797bede5ca49842bdf0b914acc5c96ac6fb00bd4ceda16359dc9d3a,train-00001-of-00021.parquet:217708,1,78,Azzindani/Indonesian_Regulation_QA,54e65e937f1a8cc87cd0fc55eb944c0a6383efe1,"Berikut kutipan verbatim dari Pasal 33 dalam Peraturan Pemerintah No 1 Tahun 2014 tentang Perubahan Kedua Atas Undang- Undang Nomor 24 Tahun 2003:
A Cukup jelas. Angka 14<|im_end|>","Berikut kutipan verbatim dari Pasal 33 dalam Peraturan Pemerintah No 1 Tahun 2014 tentang Perubahan Kedua Atas Undang- Undang Nomor 24 Tahun 2003:
A Cukup jelas. Angka 14",0.64,1.0,0,0.0,51,1.8981,False,,,,,,,,
qa-test-00008,qa_test,Uraikan teks hukum dari Pasal 41 menurut Peraturan Menteri Hukum Dan Hak Asasi Manusia No 16 Tahun 2022!,"Teks hukum dari Pasal 41 dalam Peraturan Menteri Hukum Dan Hak Asasi Manusia No 16 Tahun 2022 tentang Petunjuk Teknis Jabatan Fungsional Analis Hukum:
(1) PAK dilakukan berdasarkan hasil penilaian capaian Angka Kredit. (2) Capaian Angka Kredit diperoleh berdasarkan capaian SKP yang diperoleh dari hasil penilaian SKP oleh Pejabat Penilai Kinerja PNS yang ditetapkan dalam bentuk penilaian Angka Kredit oleh Tim Penilai. (3) Penilaian capaian Angka Kredit didasarkan pada SKHK. (4) Untuk mendukung objektivitas dalam penilaian kinerja, Analis Hukum mendokumentasikan Hasil Kerja yang diperoleh sesuai dengan SKP yang ditetapkan setiap tahunnya. (5) Dalam hal sebagai bahan pertimbangan dalam pelaksanaan penilaian Angka Kredit, bukti Hasil Kerja dan bukti pendukung disampaikan kepada Tim Penilai. (6) Jika diperlukan, Tim Penilai dapat melakukan konf irmasi terhadap Pejabat Penilai Kinerja PNS. (7) Dalam melakukan penilaian Angka Kredit, Tim Penilai wajib memperhatikan kesesuaian tugas Analis Hukum dan tugas fungsi unit kerja berdasarkan kedudukan Analis Hukum yang ditetapkan dalam peta jabatan. Bagian Ke dua Pengusulan Angka Kredit Paragraf Kesatu Tata Cara Penyampaian Bahan Usulan Penilaian",peraturan menteri|16|2022,0d437ba6999afb5dfd450e27f8e5afb655f2c395b19d2d1d45ed140c10388084,train-00018-of-00021.parquet:17474098,1,291,Azzindani/Indonesian_Regulation_QA,54e65e937f1a8cc87cd0fc55eb944c0a6383efe1,"Teks hukum dari Pasal 41 dalam Peraturan Menteri Hukum Dan Hak Asasi Manusia No 16 Tahun 2022 tentang Perubahan Atas Peraturan Menteri Hukum Dan Hak Asasi Manusia:
diubah sehingga berbunyi sebagai berikut:<|im_end|>","Teks hukum dari Pasal 41 dalam Peraturan Menteri Hukum Dan Hak Asasi Manusia No 16 Tahun 2022 tentang Perubahan Atas Peraturan Menteri Hukum Dan Hak Asasi Manusia:
diubah sehingga berbunyi sebagai berikut:",0.21,1.0,0,0.074074,49,1.8234,False,,,,,,,,
qa-test-00009,qa_test,Jelaskan kutipan resmi dari Pasal 14 menurut Peraturan Menteri Perindustrian Republik Indonesia No 36 Tahun 2024!,"Kutipan resmi dari Pasal 14 dalam Peraturan Menteri Perindustrian Republik Indonesia No 36 Tahun 2024 tentang Pemberlakuan Standar Nasional Indonesia Dan Spesifikasi:
Produsen di Luar Negeri yang mengganti Perwakilan Resmi sebelum masa berlaku Sertifikat SNI dan/atau Sertifikat Kesesuaian berakhir, Sertifikat SNI dan/atau Sertifikat Kesesuaian yang diterbitkan melalui sistem sertifikasi tipe 5 (lima) dinyatakan berakhir masa berlakunya.",peraturan menteri|36|2024,0d81efef55e980d606638e525adbc1a58b6127cb5f4a317958d4183ec45fd229,train-00021-of-00021.parquet:20912996,1,145,Azzindani/Indonesian_Regulation_QA,54e65e937f1a8cc87cd0fc55eb944c0a6383efe1,"Kutipan resmi dari Pasal 14 dalam Peraturan Menteri Perindustrian Republik Indonesia No 36 Tahun 2024 tentang Pemberlakuan Standar Nasional Indonesia Untuk Alat:
(1) Dalam hal berdasarkan hasil evaluasi sebagaimana dimaksud dalam<|im_end|>","Kutipan resmi dari Pasal 14 dalam Peraturan Menteri Perindustrian Republik Indonesia No 36 Tahun 2024 tentang Pemberlakuan Standar Nasional Indonesia Untuk Alat:
(1) Dalam hal berdasarkan hasil evaluasi sebagaimana dimaksud dalam",0.449438,1.0,0,0.0,49,1.8224,False,,,,,,,,
qa-test-00010,qa_test,Sampaikan isi hukum dalam Pasal 26 dari Peraturan Pemerintah Republik Indonesia No 6 Tahun 2010!,"Ketentuan hukum dalam Pasal 26 dalam Peraturan Pemerintah Republik Indonesia No 6 Tahun 2010 tentang Satuan Polisi Pamong Praja:
Cukup jelas.",peraturan pemerintah|6|2010,0ded6b3053a600d39a5c47e8dc34965170258f6cd84b0f5b9f55527c1a7f4a7c,train-00009-of-00021.parquet:8366982,1,73,Azzindani/Indonesian_Regulation_QA,54e65e937f1a8cc87cd0fc55eb944c0a6383efe1,"Ketentuan hukum dalam Pasal 26 dalam Peraturan Pemerintah Republik Indonesia No 6 Tahun 2010 tentang Perusahaan Umum (Perum) Jasa Tirta I:
(1)Direksi wajib menyampaikan laporan berkala kepada Menteri. (2)Laporan berkala sebagaimana dimaksud pada ayat (1) terdiri atas: a.laporan triwulan; b.laporan semesteran; dan c.laporan tahunan. (3)Laporan triwulan sebagaimana dimaksud pada ayat (2) huruf a disampaikan kepada Menteri paling lambat 15 (lima belas) hari setelah triwulan berakhir. (4)Laporan semesteran sebagaimana dimaksud pada ayat (2) huruf b disampaikan kepada Menteri paling lambat 15 (lima belas) hari setelah semester berakhir. (5)Laporan tahunan sebagaimana dimaksud pada ayat (2) huruf c disampaikan kepada Menteri paling lambat 30 (tiga puluh) hari setelah tahun buku berakhir. (6)Laporan tahunan sebagaimana dimaksud pada ayat (5) paling sedikit memuat: a.laporan realisasi anggaran; b.laporan kinerja; c.laporan keuangan; dan d.laporan tahunan lainnya. (7)Laporan tahunan sebagaimana dimaksud pada ayat (6) disampaikan kepada Menteri paling lambat 30 (tiga puluh) hari setelah tahun buku berakhir. (8","Ketentuan hukum dalam Pasal 26 dalam Peraturan Pemerintah Republik Indonesia No 6 Tahun 2010 tentang Perusahaan Umum (Perum) Jasa Tirta I:
(1)Direksi wajib menyampaikan laporan berkala kepada Menteri. (2)Laporan berkala sebagaimana dimaksud pada ayat (1) terdiri atas: a.laporan triwulan; b.laporan semesteran; dan c.laporan tahunan. (3)Laporan triwulan sebagaimana dimaksud pada ayat (2) huruf a disampaikan kepada Menteri paling lambat 15 (lima belas) hari setelah triwulan berakhir. (4)Laporan semesteran sebagaimana dimaksud pada ayat (2) huruf b disampaikan kepada Menteri paling lambat 15 (lima belas) hari setelah semester berakhir. (5)Laporan tahunan sebagaimana dimaksud pada ayat (2) huruf c disampaikan kepada Menteri paling lambat 30 (tiga puluh) hari setelah tahun buku berakhir. (6)Laporan tahunan sebagaimana dimaksud pada ayat (5) paling sedikit memuat: a.laporan realisasi anggaran; b.laporan kinerja; c.laporan keuangan; dan d.laporan tahunan lainnya. (7)Laporan tahunan sebagaimana dimaksud pada ayat (6) disampaikan kepada Menteri paling lambat 30 (tiga puluh) hari setelah tahun buku berakhir. (8",0.162162,1.0,0,0.106918,256,9.2915,True,,,,,,,,
