case_id,source_available_in_candidate_corpus,regulation_key,query_article,prompt,reference_answer,retrieval_status,candidate_chunk_count,retrieved_source_ids,adapter_no_rag_answer,adapter_with_candidate_rag_answer,no_rag_reference_token_f1,rag_reference_token_f1,rag_grounded_token_precision,rag_citation_signal_present,rag_appropriate_abstention_when_source_missing,reviewer_no_rag_rating_1_to_5,reviewer_rag_rating_1_to_5,reviewer_preferred_condition,reviewer_substance_correct,reviewer_grounded,reviewer_current,reviewer_notes
qa-covered-0001,True,peraturan presiden|105|2012,Pasal 3,Sebutkan semua ketentuan yang ada dalam Pasal 3 dari Peraturan Presiden Republik Indonesia No 105 Tahun 2012!,"Redaksional Pasal dalam Pasal 3 dalam Peraturan Presiden Republik Indonesia No 105 Tahun 2012 tentang Tunjangan Kinerja:
(1) Tunjangan Kinerja sebagaimana dimaksud dalam",found,1,kg-aab9ec1aeb52-f1732dfa4fbb701142e3-0,"Redaksional Pasal dalam Pasal 3 dalam Peraturan Presiden Republik Indonesia No 105 Tahun 2012 tentang Tunjangan Kinerja Pegawai Di Lingkungan:
(1) Tunjangan kinerja sebagaimana dimaksud dalam","Berikut adalah semua ketentuan yang ada dalam Pasal 3 dalam Peraturan Presiden Republik Indonesia No 105 Tahun 2012 tentang Tunjangan Kinerja Pegawai Di Lingkungan Kementerian Perumahan Rakyat:
(1) Tunjangan Kinerja sebagaimana dimaksud dalam",0.938776,0.75,0.75,False,,,,,,,,
qa-covered-0002,True,undang-undang|17|2008,Pasal 353,Apa frasa hukum dalam Pasal 353 dari Undang-Undang Republik Indonesia No 17 Tahun 2008?,"Frasa hukum dalam Pasal 353 dalam Undang-Undang Republik Indonesia No 17 Tahun 2008 tentang P E L A Y A R A N:
Pada saat Undang-Undang ini berlaku semua peraturan pelaksanaan Undang-Undang Nomor 21 Tahun 1992 tentan g Pelayaran dinyatakan tetap berlaku sepanjang tidak bertentangan atau belum diganti dengan yang baru berdasarkan Undang-Undang ini.",found,1,kg-837cfb09010d-b36581c69e0aeba5a3a2-0,"Frasa hukum dalam Pasal 353 dalam Undang-Undang Republik Indonesia No 17 Tahun 2008 tentang Perubahan Atas Undang-Undang:
A (1) Dalam hal terdapat perbedaan pendapat dalam pengambilan keputusan, keputusan diambil berdasarkan musyawarah untuk mufakat. (2) Dalam hal musyawarah untuk mufakat sebagaimana dimaksud pada ayat (1) tidak tercapai, keputusan diambil berdasarkan suara terbanyak. (3) Keputusan yang diambil berdasarkan suara terbanyak sebagaimana dimaksud pada ayat (2) harus mendapat dukungan sekurang-kurangnya 2/3 (dua per tiga) dari jumlah anggota yang hadir. 10. Ketentuan","Frasa hukum dalam Pasal 353 dalam Undang-Undang Republik Indonesia No 17 Tahun 2008 tentang Pelayaran:
Pada saat Undang-Undang ini berlaku semua peraturan pelaksanaan Undang-Undang Nomor 21 Tahun 1992 tentang Pelayaran dinyatakan tetap berlaku sepanjang tidak bertentangan atau belum diganti dengan yang baru",0.314286,0.834951,0.833333,False,,,,,,,,
qa-covered-0003,True,peraturan pemerintah|29|2005,Pasal 4,Jelaskan narasi hukum dalam Pasal 4 menurut Peraturan Pemerintah Republik Indonesia No 29 Tahun 2005!,"Narasi hukum dalam Pasal 4 dalam Peraturan Pemerintah Republik Indonesia No 29 Tahun 2005 tentang Bantuan Keuangan Kepada Partai Politik:
1. Besarnya Bantuan Keuangan kepada partai politi k tingkat Pusat untuk setiap kursi ditetapkan sebesar Rp. 21.000.000,- (dua puluh satu juta rupiah) per tahun. 2. Besarnya Bantuan Keuangan sebagaimana dimaksud pada ayat (1) dapat diubah setiap tahun anggaran, dan perubahannya ditetapkan oleh Menteri Keuangan atas usul Menteri Dalam Negeri.",found,2,"kg-331cdf7cedec-ec2d37bf90ffeaea5f40-0,kg-331cdf7cedec-ba05afc7a78c3fd69304-0","Narasi hukum dalam Pasal 4 dalam Peraturan Pemerintah Republik Indonesia No 29 Tahun 2005 tentang Tata Cara Pengenaan Sanksi Administrasi Berupa Denda:
Cukup jelas.","Narasi hukum dalam Pasal 4 dalam Peraturan Pemerintah Republik Indonesia No 29 Tahun 2005 tentang Perizinan Pemanfaatan:
ayat (1) huruf a, huruf b, huruf c, huruf d, huruf e, huruf f, huruf g, huruf h, huruf i, huruf j, huruf k, huruf l, huruf m, huruf n, huruf o, huruf p, huruf q, huruf r, huruf s, huruf t, huruf u, huruf v, huruf w, huruf x, huruf y, huruf z, huruf aa, huruf ab, huruf ac, huruf ad, huruf ae, huruf af, huruf ag, huruf ah, huruf ai, huruf aj, huruf ak, huruf al, huruf am, huruf an, huruf ao, huruf ap, huruf aq, huruf ar, huruf as, huruf at, huruf au, huruf av, huruf aw, huruf ax, huruf ay, huruf az, huruf ba, huruf bb, huruf bc, huruf bd, huruf be, huruf bf, huruf bg, huruf bh, huruf bi, huruf bj, huruf bk, huruf bl, huruf bm, huruf bn, huruf bo, huruf bp, huruf bq, huruf br, huruf bs, huruf bt, huruf bu,",0.315789,0.152542,0.072727,False,,,,,,,,
qa-covered-0004,True,peraturan presiden|69|2005,Pasal 12,Uraikan teks hukum dari Pasal 12 menurut Peraturan Presiden Republik Indonesia No 69 Tahun 2005!,"Teks hukum dari Pasal 12 dalam Peraturan Presiden Republik Indonesia No 69 Tahun 2005 tentang Peran Serta Lembaga/Perorangan Asing:
Peraturan Presiden ini mulai berl aku sejak tanggal ditetapkan. Ditetapkan di Jakarta pada tanggal 14 November 2005 PRESIDEN REPUBLIK INDONESIA ttd. DR. H. SUSILO BAMBANG YUDHOYONO Salinan sesuai dengan aslinya, Deputi Sekretaris Kabinet Bidang Hukum dan Perundang-undangan ttd Lambock V. Nahattands",found,1,kg-4ac6e55ba4dd-0e71f0c8d14273d8a48b-0,"Teks hukum dari Pasal 12 dalam Peraturan Presiden Republik Indonesia No 69 Tahun 2005 tentang Kerjasama Pemerintah Dengan Badan Usaha:
(1) Badan Usaha yang telah memperoleh persetujuan prinsip sebagaimana dimaksud dalam","Teks hukum dari Pasal 12 dalam Peraturan Presiden Republik Indonesia No 69 Tahun 2005 tentang Peran Serta Lembaga/Perorangan Asing Dalam Rangka Hibah Untuk Rehabilitasi Dan Rekonstruksi Wilayah Dan Kehidupan Masyarakat Provinsi Nanggroe Aceh Darussalam Dan Kepulauan Nias Provinsi Sumatera Utara:
Peraturan Presiden ini mulai berlaku sejak tanggal ditetapkan. Ditetapkan di Jakarta pada tanggal 27 Oktober 2005 PRESIDEN REPUBLIK INDONESIA, ttd. DR. H. SUSILO BAMBANG YUDHOYONO Salinan sesuai dengan aslinya Deputi Sekretaris Kabinet Bidang Hukum, ttd Lambock V. Nahattands",0.344086,0.794326,0.583333,False,,,,,,,,
qa-covered-0005,True,peraturan pemerintah|100|2000,Pasal 2,Tulis isi hukum dari Pasal 2 dalam Peraturan Pemerintah Republik Indonesia No 100 Tahun 2000!,"Isi hukum dari Pasal 2 dalam Peraturan Pemerintah Republik Indonesia No 100 Tahun 2000 tentang Pengangkatan Pegawai Negeri Sipil:
(1) Jabatan struktural Eselon I pada instansi Pusat ditetapkan oleh Presiden atas usul Pimpinan Instansi setelah mendapat pertimbangan tertulis dari Menteri yang bertanggung jawab di bidang pendayagunaan aparatur negara. (2) Jabatan struktural Eselon II ke bawah pada instansi Pusat ditetapkan oleh Pimpinan Instansi setelah mendapat pertimbangan tertulis dari Menteri yang bertanggung jawab di bidang pendayagunaan aparatur negara. (3) Jabatan struktural Eselon I ke bawah di Propinsi dan Jabatan Struktural Eselon II ke bawah di Kabupaten/Kota ditetapkan sesuai dengan ketentuan peraturan perundang-undangan yang berlaku.",found,1,kg-0c1d7552de3b-8bfd7810bb320fc0b524-0,"Isi hukum dari Pasal 2 dalam Peraturan Pemerintah Republik Indonesia No 100 Tahun 2000 tentang Tarif Atas Jenis Penerimaan Negara Bukan Pajak:
(1) Tarif atas jenis Penerimaan Negara Bukan Pajak sebagaimana dimaksud dalam","Isi hukum dari Pasal 2 dalam Peraturan Pemerintah Republik Indonesia No 100 Tahun 2000 tentang Pengangkatan Pegawai Negeri Sipil Dalam Jabatan Struktural:
ayat (1) huruf a, huruf b, huruf c, huruf d, huruf e, huruf f, huruf g, huruf h, huruf i, huruf j, huruf k, huruf l, huruf m, huruf n, huruf o, huruf p, huruf q, huruf r, huruf s, huruf t, huruf u, huruf v, huruf w, huruf x, huruf y, huruf z, huruf aa, huruf ab, huruf ac, huruf ad, huruf ae, huruf af, huruf ag, huruf ah, huruf ai, huruf aj, huruf ak, huruf al, huruf am, huruf an, huruf ao, huruf ap, huruf aq, huruf ar, huruf as, huruf at, huruf au, huruf av, huruf aw, huruf ax, huruf ay, huruf az, huruf ba, huruf bb, huruf bc, huruf bd, huruf be, huruf bf, huruf bg, huruf bh, huruf bi, huruf bj, huruf bk, huruf bl, huruf bm, huruf bn, huruf bo, huruf bp, huruf bq, huruf br, huruf bs",0.277372,0.17037,0.140351,False,,,,,,,,
qa-covered-0006,True,peraturan pemerintah|104|2000,Pasal 13,Sebutkan semua ketentuan yang ada dalam Pasal 13 dari 1Peraturan Menteri Keuangan Republik Indonesia No nan Tahun 2000!,"Redaksional Pasal dalam Pasal 13 dalam 1Peraturan Menteri Keuangan Republik Indonesia No nan Tahun 2000 tentang Penetapan Perkiraan Jumlah Dana Bagian Daerah Dari Sumber Daya:
ayat (4) Peraturan Pemerintah Nomor 104 Tahun 2000 tentang Dana Perimbangan sebagaimana telah diubah dengan Peraturan Pemerintah Nomor 84 Tahun 2001, perlu menetapkan Pera turan Menteri Keuangan tentang Penetapan Perkiraan Jumlah Dana Bagian Daerah dari Sumber Daya Alam Sektor Kehutanan Tahun Anggaran 2005; Mengingat: 1. Undang-Undang Nomor 20 Tahun 1997 tentang Pene rimaan Negara Buka n Pajak (Lembaran Negara Republik Indonesia Tahun 1997 Nomor 43, Tambahan Lembaran Negara Republik Indonesia Nomor 3687); 2. Undang-Undang Nomor 41 Tahun 1999 tentang Kehutanan (Lembaran Negara Republik Indonesia Tahun 1999 Nomor 167, Tambahan Lembaran Negara Republik Indonesia Nomor 3888); 3. Undang-Undang Nomor 19 Tahun 2004 tentang Pene tapan Peraturan Pemerintah Pengganti Undang-Undang Nomor 1 Tahun 2004 tentang Perubahan Atas Undang-Undang Nomor 41 Tahun 1999 tentang Kehutanan menjadi Undang-Undang (Lembaran Negara Republik Indonesia Tahun 2004 Nomor 86, Tambahan Lembaran Negara Republik Indonesia Nomor 4412); 4. Undang-Undang Nomor 17 Tahun 2003 tentang Keuangan Negara (Lembaran Negara Republik Indonesia Tahun 2003 Nomor 47, Tambahan Lembaran Negara Republik Indonesia Nomor 4286); 5. Undang-Undang Nomor 1 Tahun 2004 tentang Perb endaharaan Negara (Lembaran Negara Republik Indonesia Tahun 2004 Nomor 5, Tambahan Lembaran Negara Republik Indonesia Nomor 4355); 6. Undang-Undang Nomor 32 Tahun 2004 tentang Pemerintahan Daerah (Lembaran Negara Republik Indonesia Tahun 2004 Nomor 125, Tambahan Lembaran Negara Republik Indonesia Nomor 4437); 7. Undang-Undang Nomor 33 Tahun 2004 tentang Pe rimbangan Keuangan Antara Pemerintah Pusat dan Pemerintahan Daerah (Lembaran Negara Republik Indonesia Tahun 2004 Nomor 126, Tambahan Lembaran Negara Republik Indonesia Nomor 4438); 8. Undang-Undang Nomor 36 Tahun 2004 tentang An ggaran Pendapatan dan Belanja Negara Tahun Anggaran 2005 (Lembaran Negara Republik Indonesia Tahun 2004 Nomor 130, Tambahan Lembaran Negara Republik Indonesia Nomor 4442); 9. Peraturan Pemerintah Nomor 22 Tahun 1997 tenta ng Jenis dan Penyetoran Penerimaan Negara Bukan Pajak (Lembaran Negara Republik Indonesia Tahun 1997 Nomor 57, Tambahan Lembaran Negara Republik Indonesia Nomor 3694) sebagaimana telah diubah dengan Peraturan Pemerintah Nomor 52 Tahun 1998 (Lembaran Negara Republik Indonesia Tahun 1998 Nomor 85, Tambahan Lembaran Negara Republik Indonesia Nomor 3760); 10. Peraturan Pemerintah Nomor 25 Tahun 2000 tentang Kewenangan Pemerintah dan Kewenangan Provinsi sebagai Daerah Otonomi (Lembaran Negara Republik Indonesia Tahun 2000 Nomor 54, Tambahan Lembaran Negara Republik Indonesia Nomor 3952); 211. Peraturan Pemerintah Nomor 104 Tahun 2000 tentang Dana Perimbangan (Lembaran Negara Republik Indonesia Tahun 2000 Nomor 201, Tambahan Lembaran Negara Republik Indonesia Nomor 4021) sebagaimana telah diubah dengan Peraturan Pemerintah Nomor 84 Tahun 2001 (Lembaran Negara Republik Indonesia Tahun 2001 Nomor 157, Tambahan Lembaran Negara Republik Indonesia Nomor 4165); 12. Keputusan Presiden Nomor 187/M Tahun 2004; 13. Keputusan Menteri Keuangan Nomor 344/KMK.06/2001 tentang Penyalurah Dana Bagian D a e r a h d a r i S u m b e r D a y a A l a m s e b a g a i m a n a telah diubah beberapa kali terakhir dengan Peraturan Menteri Keuangan Nomor 612/PMK.06/2004; 14. Peraturan Menteri Keuangan Nomor 571/PMK.06/2004 tentang Petunjuk Teknis Penyelesaian Daftar Isian Pelaksanaan Anggaran (DIPA) Tahun Anggaran 2005; 15. Peraturan Menteri Keuangan Nomor 606/PMK.06/2004 tentang Pedoman Pembayaran Dalam Pelaksanaan Anggaran Pendapatan Belanja Negara Tahun 2005; 16. Keputusan Menteri",found,1,kg-c4a8890f6812-d42d6e20bb59279f6347-0,"Redaksional Pasal dalam Pasal 13 dalam 1Peraturan Menteri Keuangan Republik Indonesia No nan Tahun 2000 tentang Tata Cara Pengenaan Tarif Bea Masuk Atas Barang Impor:
ayat (1) huruf a, huruf b, huruf c, huruf d, huruf e, huruf f, huruf g, huruf h, huruf i, huruf j, huruf k, huruf 1, huruf m, huruf n, huruf o, huruf p, huruf q, huruf r, huruf s, huruf t, huruf u, huruf v, huruf w, huruf x, huruf y, huruf z, huruf aa, huruf ab, huruf ac, huruf ad, huruf ae, huruf af, huruf ag, huruf ah, huruf ai, huruf aj, huruf ak, huruf al, huruf am, huruf an, huruf ao, huruf ap, huruf aq, huruf ar, huruf as, huruf at, huruf au, huruf av, huruf aw, huruf ax, huruf ay, huruf az, huruf ba, huruf bb, huruf bc, huruf bd, huruf be, huruf bf, huruf bg, huruf bh, huruf bi, huruf bj, huruf bk, huruf bl, huruf bm, huruf bn, huruf bo, huruf bp, huruf bq, huruf br","Berikut adalah semua ketentuan yang ada dalam Pasal 13 dalam 1Peraturan Menteri Keuangan Republik Indonesia No nan Tahun 2000 tentang Dana Perimbangan:
- (1) Menteri Teknis setelah berkonsultasi dengan Menteri Dalam Negeri dan Otonomi Daerah menetapkan Kabupaten/Kota penghasil sebagaimana dimaksud dalam Pasal 9, Pasal 10 dan Pasal 12. - (2) Menteri teknis menetapkan dasar penghitungan bagian Daerah Kabupaten/Kota penghasil setelah berkonsultasi dengan Dewan Pertimbangan Otonomi Daerah. - (3) Menteri Teknis menyampaikan dasar penghitungan bagian Daerah Kabupaten/Kota penghasil kepada Menteri Keuangan,Gubernur dan Bupati/Walikota yang bersangkutan. - (4) Menteri Keuangan menetapkan jumlah dana bagian Daerah untuk masing-masing Daerah.",0.093407,0.157815,0.901408,False,,,,,,,,
qa-covered-0007,True,peraturan pemerintah|3|2003,Pasal 5,"Menurut Peraturan Pemerintah Republik Indonesia No 3 Tahun 2003, apa yang diatur dalam Pasal 5?","Rumusan Pasal berdasarkan Pasal 5 dalam Peraturan Pemerintah Republik Indonesia No 3 Tahun 2003 tentang Pelaksanaan Teknis Institusional Perad Ilan Umum Bagi:
Cukup Jelas",found,1,kg-73643030ee41-07a12c13649975be5031-0,"Ruang lingkup pengaturan dalam Peraturan Pemerintah ini meliputi: a. pengendalian dan pengawasan terhadap kegiatan usaha di bidang perikanan; b. pengendalian dan pengawasan terhadap kegiatan usaha di bidang budidaya ikan; c. pengendalian dan pengawasan terhadap kegiatan usaha di bidang perikanan tangkap; d. pengendalian dan pengawasan terhadap kegiatan usaha di bidang perikanan budidaya air payau; e. pengendalian dan pengawasan terhadap kegiatan usaha di bidang perikanan budidaya air tawar; f. pengendalian dan pengawasan terhadap kegiatan usaha di bidang perikanan budidaya air laut; g. pengendalian dan pengawasan terhadap kegiatan usaha di bidang perikanan budidaya air tawar dan air payau; h. pengendalian dan pengawasan terhadap kegiatan usaha di bidang perikanan budidaya air tawar dan air laut; i. pengendalian dan pengawasan terhadap kegiatan usaha di bidang perikanan budidaya air tawar, air payau dan air laut; j. pengendalian dan pengawasan terhadap kegiatan usaha di bidang perikanan budidaya air tawar, air payau dan air laut; k. pengendalian dan pengawasan terhadap kegiatan usaha di bidang perikanan budidaya air tawar, air payau dan air laut; l. pengendalian dan pengawasan terhadap kegiatan usaha di bidang perikanan budidaya","Berdasarkan konteks yang diberikan, jawaban untuk pertanyaan tersebut adalah:

Pemeriksaan terhadap anggota Kepolisian Negara Republik Indonesia dalam rangka penyidikan dilakukan dengan menggunakan Surat Perintah Pemeriksaan.",0.03,0.163265,0.526316,False,,,,,,,,
qa-covered-0008,True,peraturan pemerintah|72|2009,Pasal 125,Bagaimana bunyi lengkap dari Pasal 125 berdasarkan Peraturan Pemerintah Republik Indonesia No 72 Tahun 2009?,"Bunyi lengkap dari Pasal berdasarkan Pasal 125 dalam Peraturan Pemerintah Republik Indonesia No 72 Tahun 2009 tentang Lalu Lintas Dan Angkutan Kereta Api:
(1) Penumpang yang membawa barang harus meletakkan barang bawaannya di tempat yang ditentukan untuk meletakkan barang. (2) Dalam hal barang bawaan sebagaimana dimaksud pada ayat (1) diletakkan dalam kereta bagasi, barang bawaan dikenai biaya angkutan. (3) Biaya angkutan sebagaimana dimaksud pada ayat (2) ditentukan berdasarkan tarif yang ditetapkan oleh penyelenggara sarana perkeretaapian.",found,1,kg-aced410a168b-ec7eb14d41a6164dddc1-0,"Bunyi lengkap dari Pasal berdasarkan Pasal 125 dalam Peraturan Pemerintah Republik Indonesia No 72 Tahun 2009 tentang Jenis Dan Tarif Atas Jenis Penerimaan Negara Bukan Pajak:
Cukup jelas.","Bunyi lengkap dari Pasal berdasarkan Pasal 125 dalam Peraturan Pemerintah Republik Indonesia No 72 Tahun 2009 tentang Lalu Lintas Dan Angkutan:
(1) Penumpang yang membawa barang harus meletakkan barang bawaannya di tempat yang ditentukan untuk meletakkan barang. (2) Dalam hal barang bawaan sebagaimana dimaksud pada ayat (1) diletakkan dalam kereta bagasi, barang bawaan dikenai biaya angkutan. (3) Biaya angkutan sebagaimana dimaksud pada ayat (2) ditentukan berdasarkan jenis dan berat barang.",0.368932,0.910345,0.813953,False,,,,,,,,
qa-covered-0009,True,peraturan pemerintah|76|2008,Pasal 20,Apa yang tertulis dalam Pasal 20 dalam Peraturan Pemerintah Republik Indonesia No 76 Tahun 2008?,"Tertulis dalam Pasal 20 dalam Peraturan Pemerintah Republik Indonesia No 76 Tahun 2008 tentang Rehabilitasi Dan Reklamasi Hutan:
Cukup jelas.",found,1,kg-73aa438ddff7-f312124c5a22da572f9d-0,"Tertulis dalam Pasal 20 dalam Peraturan Pemerintah Republik Indonesia No 76 Tahun 2008 tentang Perubahan Atas Peraturan Pemerintah Nomor 23 Tahun 2005 Tentang Penghapusan Pajak Penghasilan Atas Penghasilan Dari:
ayat (1) huruf a, huruf b, huruf c, huruf d, huruf e, huruf f, huruf g, huruf h, huruf i, huruf j, huruf k, huruf l, huruf m, huruf n, huruf o, huruf p, huruf q, huruf r, huruf s, huruf t, huruf u, huruf v, huruf w, huruf x, huruf y, huruf z, huruf aa, huruf ab, huruf ac, huruf ad, huruf ae, huruf af, huruf ag, huruf ah, huruf ai, huruf aj, huruf ak, huruf al, huruf am, huruf an, huruf ao, huruf ap, huruf aq, huruf ar, huruf as, huruf at, huruf au, huruf av, huruf aw, huruf ax, huruf ay, huruf az, huruf ba, huruf bb, huruf bc, huruf bd, huruf be, huruf bf, huruf bg, huruf bh, huruf bi, huruf bj, huruf bk, huruf bl, huruf bm, huruf bn, huruf bo","Berdasarkan konteks yang diberikan, Pasal 20 dalam Peraturan Pemerintah Republik Indonesia No 76 Tahun 2008 tentang Perubahan Atas Peraturan Pemerintah Nomor 18 Tahun 2006:
ayat (1) huruf b, huruf c, dan huruf d,",0.151351,0.490566,0.272727,False,,,,,,,,
qa-covered-0010,True,peraturan pemerintah|65|2000,Pasal 3,Uraikan teks hukum dari Pasal 3 menurut Peraturan Pemerintah Repub Lik Indonesia No 65 Tahun 2000!,"Teks hukum dari Pasal 3 dalam Peraturan Pemerintah Repub Lik Indonesia No 65 Tahun 2000 tentang Penambahan Penyertaan Modal Negara Republik Indonesia:
Pelaksanaan penambahan penyertaan modal Negara Republik Indonesia ke dalam modal saham Perusahaan Perseroan (PERSERO) PT Pos Indonesia sebagaimana dimaksud dalam",found,1,kg-80bc1a2fee82-0321a9e6e886c0ba1bf0-0,"Teks hukum dari Pasal 3 dalam Peraturan Pemerintah Repub Lik Indonesia No 65 Tahun 2000 tentang Penambahan Penyertaan Modal Negara Republik Indonesia:
Pelaksanaan penambahan penyertaan modal Negara sebagaimana dimaksud dalam","Teks hukum dari Pasal 3 dalam Peraturan Pemerintah Repub Lik Indonesia No 65 Tahun 2000 tentang Penambahan Penyertaan Modal Negara Republik Indonesia Ke Dalam Modal Saham Perusahaan Perseroan (Persero) Pt. Pos Indonesia:
Pelaksanaan penambahan penyertaan modal Negara Republik Indonesia ke dalam modal saham Perusahaan Perseroan (PERSERO) PT Pos Indonesia sebagaimana dimaksud dalam",0.833333,0.893617,0.918919,False,,,,,,,,
